iter	Passed	Remaining
332	2740	5489
333	2749	5483
334	2756	5470
335	2764	5463
336	2771	5452
337	2780	5445
338	2787	5435
339	2797	5429
340	2805	5422
341	2813	5412
342	2820	5402
343	2827	5392
344	2834	5381
345	2842	5372
346	2849	5362
347	2858	5355
348	2866	5346
349	2874	5338
350	2881	5327
351	2889	5319
352	2896	5308
353	2905	5301
354	2912	5291
355	2921	5284
356	2927	5272
357	2935	5263
358	2941	5252
359	2947	5240
360	2956	5233
361	2963	5222
362	2972	5216
363	2979	5205
364	2987	5197
365	2994	5187
366	3002	5178
367	3009	5168
368	3017	5159
369	3023	5148
370	3031	5140
371	3037	5128
372	3044	5118
373	3053	5111
374	3060	5100
375	3069	5093
376	3075	5082
377	3084	5074
378	3090	5064
379	3099	5056
380	3105	5045
381	3113	5037
382	3119	5026
383	3128	5017
384	3134	5007
385	3142	4999
386	3149	4989
387	3156	4978
388	3164	4970
389	3170	4959
390	3179	4952
391	3186	4942
392	3195	4935
393	3201	4924
394	3209	4916
395	3216	4906
396	3224	4897
397	3230	4886
398	3237	4876
399	3246	4869
400	3253	4860
401	3262	4853
402	3269	4842
403	3278	4836
404	3284	4825
405	3293	4818
406	3299	4807
407	3308	4800
408	3314	4789
409	3324	4783
410	3330	4773
411	3339	4765
412	3346	4756
413	3354	4748
414	3361	4738
415	3370	4731
416	3376	4721
417	3384	4712
418	3391	4703
419	3398	4693
420	3406	4685
421	3413	4675
422	3421	4667
423	3428	4657
424	3436	4649
425	3443	4640
426	3452	4633
427	3459	4623
428	3467	4615
429	3474	4605
430	3481	4596
431	3488	4586
432	3495	4577
433	3504	4569
434	3510	4560
435	3519	4552
436	3525	4542
437	3534	4534
438	3540	4524
439	3547	4515
440	3554	4505
441	3561	4496
442	3567	4485
443	3576	4479
444	3585	4472
445	3593	4464
446	3600	4454
447	3608	4445
448	3616	4438
449	3623	4428
450	3630	4419
451	3638	4411
452	3646	4402
453	3653	4393
454	3663	4387
455	3670	4378
456	3678	4370
457	3686	4362
458	3695	4355
459	3702	4346
460	3711	4340
461	3719	4331
462	3727	4322
463	3733	4313
464	3743	4306
465	3749	4297
466	3758	4289
467	3765	4280
468	3774	4273
469	3800	4285
470	3812	4282
471	3823	4277
472	3830	4268
473	3839	4260
474	3846	4250
475	3855	4244
476	3862	4234
477	3870	4226
478	3877	4217
479	3886	4210
480	3893	4200
481	3901	4192
482	3908	4183
483	3916	4175
484	3922	4165
485	3930	4156
486	3937	4147
487	3943	4136
488	3952	4130
489	3958	4120
490	3968	4114
491	3975	4105
492	3984	4097
493	3990	4087
494	3999	4080
495	4005	4070
496	4015	4063
497	4021	4053
498	4029	4045
499	4036	4036
500	4044	4028
501	4051	4018
502	4058	4009
503	4066	4002
504	4073	3992
505	4081	3984
506	4089	3976
507	4097	3968
508	4104	3959
509	4113	3951
510	4119	3941
511	4127	3933
512	4134	3924
513	4142	3916
514	4148	3906
515	4156	3898
516	4162	3888
517	4168	3878
518	4178	3872
519	4184	3862
520	4193	3855
521	4200	3846
522	4209	3839
523	4216	3830
524	4225	3822
525	4232	3813
526	4241	3806
527	4248	3797
528	4256	3789
529	4262	3780
530	4271	3772
531	4278	3763
532	4287	3756
533	4293	3747
534	4302	3739
535	4309	3730
536	4317	3722
537	4324	3713
538	4331	3704
539	4339	3696
540	4346	3687
541	4355	3680
542	4362	3671
543	4371	3664
544	4378	3655
545	4387	3647
546	4394	3639
547	4402	3631
548	4409	3622
549	4417	3614
550	4424	3605
551	4432	3597
552	4439	3588
553	4448	3580
554	4454	3571
555	4463	3564
556	4470	3555
557	4477	3546
558	4485	3538
559	4492	3529
560	4500	3521
561	4507	3513
562	4515	3505
563	4522	3495
564	4530	3488
565	4538	3480
566	4548	3473
567	4555	3465
568	4564	3457
569	4572	3449
570	4581	3441
571	4588	3433
572	4597	3426
573	4606	3418
574	4614	3410
575	4622	3402
576	4630	3394
577	4639	3387
578	4645	3378
579	4653	3370
580	4661	3361
581	4669	3353
582	4677	3345
583	4685	3337
584	4693	3329
585	4699	3320
586	4708	3312
587	4714	3303
588	4722	3295
589	4730	3287
590	4739	3279
591	4746	3270
592	4754	3263
593	4761	3254
594	4769	3246
595	4775	3237
596	4784	3229
597	4791	3220
598	4799	3212
599	4806	3204
600	4813	3195
601	4821	3187
602	4828	3178
603	4837	3171
604	4844	3162
605	4852	3155
606	4858	3145
607	4867	3138
608	4873	3129
609	4882	3121
610	4888	3112
611	4897	3104
612	4903	3095
613	4912	3088
614	4919	3079
615	4926	3071
616	4933	3062
617	4940	3053
618	4948	3045
619	4955	3037
620	4963	3029
621	4970	3020
622	4980	3013
623	4986	3004
624	4995	2997
625	5002	2988
626	5011	2981
627	5018	2972
628	5026	2964
629	5033	2956
630	5041	2948
631	5047	2939
632	5053	2930
633	5062	2922
634	5069	2913
635	5077	2906
636	5084	2897
637	5093	2889
638	5099	2881
639	5108	2873
640	5115	2865
641	5124	2857
642	5131	2849
643	5140	2841
644	5146	2832
645	5155	2825
646	5162	2816
647	5171	2809
648	5177	2800
649	5185	2792
650	5192	2783
651	5199	2774
652	5208	2767
653	5214	2758
654	5223	2751
655	5230	2742
656	5238	2735
657	5246	2726
658	5254	2718
659	5261	2710
660	5269	2702
661	5276	2693
662	5285	2686
663	5292	2677
664	5299	2669
665	5306	2661
666	5314	2653
667	5320	2644
668	5327	2635
669	5336	2628
670	5343	2619
671	5351	2612
672	5359	2603
673	5367	2596
674	5374	2587
675	5383	2580
676	5390	2571
677	5398	2563
678	5404	2555
679	5413	2547
680	5420	2539
681	5429	2531
682	5436	2523
683	5445	2515
684	5452	2507
685	5460	2499
686	5467	2490
687	5474	2482
688	5481	2474
689	5487	2465
690	5497	2458
691	5505	2450
692	5512	2442
693	5520	2433
694	5528	2426
695	5535	2417
696	5544	2410
697	5552	2402
698	5561	2394
699	5568	2386
700	5577	2379
701	5585	2371
702	5593	2362
703	5600	2354
704	5609	2347
705	5615	2338
706	5625	2331
707	5632	2322
708	5641	2315
709	5649	2307
710	5657	2299
711	5664	2291
712	5674	2283
713	5680	2275
714	5689	2268
715	5696	2259
716	5705	2251
717	5712	2243
718	5721	2236
719	5727	2227
720	5737	2220
721	5744	2211
722	5753	2204
723	5760	2196
724	5769	2188
725	5776	2180
726	5785	2172
727	5792	2164
728	5802	2157
729	5808	2148
730	5817	2140
731	5824	2132
732	5833	2124
733	5840	2116
734	5848	2108
735	5856	2100
736	5864	2092
737	5871	2084
738	5880	2076
739	5887	2068
740	5896	2060
741	5902	2052
742	5911	2044
743	5918	2036
744	5926	2028
745	5933	2020
746	5941	2012
747	5948	2004
748	5956	1995
749	5963	1987
750	5970	1979
751	5979	1971
752	5986	1963
753	5995	1955
754	6001	1947
755	6010	1939
756	6017	1931
757	6025	1923
758	6031	1915
759	6040	1907
760	6047	1899
761	6056	1891
762	6063	1883
763	6070	1875
764	6077	1866
765	6085	1859
766	6092	1850
767	6098	1842
768	6108	1834
769	6115	1826
770	6124	1819
771	6131	1810
772	6139	1803
773	6147	1794
774	6156	1787
775	6163	1779
776	6172	1771
777	6179	1763
778	6188	1755
779	6194	1747
780	6203	1739
781	6211	1731
782	6219	1723
783	6227	1715
784	6236	1707
785	6243	1699
786	6251	1692
787	6259	1683
788	6267	1676
789	6274	1667
790	6283	1660
791	6290	1652
792	6298	1644
793	6304	1635
794	6313	1627
795	6320	1619
796	6327	1611
797	6335	1603
798	6343	1595
799	6351	1587
800	6357	1579
801	6365	1571
802	6372	1563
803	6381	1555
804	6388	1547
805	6397	1539
806	6426	1537
807	6437	1529
808	6446	1521
809	6452	1513
810	6461	1505
811	6469	1497
812	6478	1490
813	6486	1482
814	6495	1474
815	6503	1466
816	6512	1458
817	6519	1450
818	6528	1442
819	6535	1434
820	6543	1426
821	6550	1418
822	6560	1410
823	6566	1402
824	6575	1394
825	6583	1386
826	6592	1379
827	6599	1370
828	6608	1363
829	6615	1354
830	6624	1347
831	6632	1339
832	6640	1331
833	6647	1323
834	6656	1315
835	6663	1307
836	6672	1299
837	6678	1291
838	6687	1283
839	6693	1274
840	6702	1267
841	6708	1258
842	6717	1251
843	6725	1243
844	6734	1235
845	6740	1226
846	6749	1219
847	6756	1211
848	6765	1203
849	6771	1195
850	6779	1187
851	6786	1178
852	6794	1170
853	6801	1162
854	6807	1154
855	6816	1146
856	6823	1138
857	6832	1130
858	6839	1122
859	6848	1114
860	6855	1106
861	6864	1098
862	6871	1090
863	6880	1083
864	6887	1074
865	6896	1067
866	6903	1058
867	6911	1051
868	6918	1042
869	6926	1034
870	6933	1026
871	6941	1018
872	6948	1010
873	6956	1002
874	6963	994
875	6969	986
876	6978	978
877	6985	970
878	6994	962
879	7001	954
880	7010	946
881	7017	938
882	7026	931
883	7033	922
884	7042	915
885	7049	907
886	7058	899
887	7065	891
888	7074	883
889	7081	875
890	7090	867
891	7097	859
892	7105	851
893	7113	843
894	7121	835
895	7128	827
896	7136	819
897	7143	811
898	7152	803
899	7159	795
900	7168	787
901	7174	779
902	7182	771
903	7189	763
904	7197	755
905	7205	747
906	7212	739
907	7219	731
908	7226	723
909	7235	715
910	7242	707
911	7251	699
912	7258	691
913	7267	683
914	7274	675
915	7283	667
916	7290	659
917	7300	652
918	7306	643
919	7315	636
920	7322	628
921	7330	620
922	7337	612
923	7346	604
924	7353	596
925	7362	588
926	7368	580
927	7377	572
928	7384	564
929	7393	556
930	7400	548
931	7408	540
932	7415	532
933	7423	524
934	7430	516
935	7441	508
936	7448	500
937	7457	492
938	7464	484
939	7473	477
940	7481	469
941	7489	461
942	7496	453
943	7505	445
944	7512	437
945	7521	429
946	7527	421
947	7535	413
948	7541	405
949	7549	397
950	7558	389
951	7566	381
952	7575	373
953	7583	365
954	7591	357
955	7599	349
956	7607	341
957	7615	333
958	7622	325
959	7629	317
960	7637	309
961	7644	301
962	7654	294
963	7660	286
964	7669	278
965	7676	270
966	7685	262
967	7691	254
968	7700	246
969	7707	238
970	7715	230
971	7722	222
972	7731	214
973	7738	206
974	7747	198
975	7754	190
976	7763	182
977	7769	174
978	7778	166
979	7785	158
980	7794	150
981	7801	142
982	7809	135
983	7816	127
984	7824	119
985	7831	111
986	7861	103
987	7876	95
988	7885	87
989	7896	79
990	7904	71
991	7912	63
992	7919	55
993	7927	47
994	7933	39
995	7942	31
996	7949	23
997	7958	15
998	7965	7
999	7973	0
